movieInfo,star,title
"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...;
                            1994 / 美国 / 犯罪 剧情
                        ;
                                ;
                            ",,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台)
"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...;
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        ;
                                ;
                            ",,霸王别姬 / 再见，我的妾  /  Farewell My Concubine
"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...;
                            1994 / 法国 / 剧情 动作 犯罪
                        ;
                                ;
                            ",,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台)
"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise;
                            1994 / 美国 / 剧情 爱情
                        ;
                                ;
                            ",,阿甘正传 / Forrest Gump / 福雷斯特·冈普
"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...;
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ;
                                ;
                            ",,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful
"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...;
                            2001 / 日本 / 剧情 动画 奇幻
                        ;
                                ;
                            ",,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...;
                            1993 / 美国 / 剧情 历史 战争
                        ;
                                ;
                            ",,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单
"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...;
                            1997 / 美国 / 剧情 爱情 灾难
                        ;
                                ;
                            ",,泰坦尼克号 / Titanic / 铁达尼号(港 / 台)
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...;
                            2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
                        ;
                                ;
                            ",,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台)
"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...;
                            2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
                        ;
                                ;
                            ",,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港)
